_Rejected_ExactID_Month
_Rejected_InputIP_Month
_Rejected_Email_Month
_Rejected_TrueIP_Month
_SmartID_LT_1W
PID_GBL_AGE_EXACT_ID_LT_DAY
_ExactID_AGE_LT_1W
_Rejected_SmartID_Month
_ACC_NAME_GBL_AGE_GT_3MTHS
PID_GBL_RLTD_TIMEZONE_PASSED_2
_ACC_LOGIN_SMART_ID_LCL_PAIR_AGE_LT_DY
_EXACT_ID_LCL_AGE_LT_DY
PID_GBL_RLTD_BILL_TO_ZIP_REJECTED_2
_SMART_ID_LCL_AGE_LT_DY
_ACC_EMAIL_EXACT_ID_GBL_PAIR_AGE_LT_DY
_ACC_EMAIL_SMART_ID_GBL_PAIR_VEL_5_5_5_7
_ACC_NAME_EXACT_ID_LCL_PAIR_AGE_LT_HR
_ACC_LOGIN_SMART_ID_GBL_PAIR_AGE_LT_DY
_ACC_EMAIL_GBL_VEL_5_5_5_7
_ACC_LOGIN_EXACT_ID_LCL_PAIR_AGE_LT_DY
PID_GBL_RLTD_EXACT_ID_PASSED_2
_IP_GBL_AGE_GT_3MTHS
PID_GBL_RLTD_ACC_EMAIL_PASSED_2
_ExactID_DIST_1000K_D
PID_GBL_RLTD_IP_PASSED_1
_EXACT_ID_LCL_VEL_5_5_5_5
_IP_GBL_VEL_5_5_5_7
_Rejected_TrueIP_Hour
_SMART_ID_LCL_VEL_5_5_5_5
_5DevicePayment
_ACC_LOGIN_EXACT_ID_GBL_PAIR_AGE_LT_DY
_ACC_NAME_EXACT_ID_GBL_PAIR_VEL_5_5_5_5
_ACC_LOGIN_EXACT_ID_LCL_PAIR_AGE_LT_HR
_ACC_NAME_EXACT_ID_GBL_PAIR_AGE_LT_HR
_ACC_EMAIL_SMART_ID_LCL_PAIR_AGE_LT_HR
_EXACT_ID_GBL_AGE_LT_DY
_ACC_EMAIL_SMART_ID_LCL_PAIR_AGE_LT_DY
PID_GBL_BEHV_CONV_EXACT_ID_ACC_EMAIL_2_HOUR
_ACC_NAME_SMART_ID_LCL_PAIR_AGE_LT_HR
